"Date","Run","SDR_position","Lpc","Leq","Lz","alpha"
"10.18.19","2","D4",-0.554425087108015,-0.567137083369777,-0.55262063683117,0.4
"10.18.19","2","A5",-0.154739588769439,-0.142597658387123,-0.142597658387123,0.4
"10.18.19","2","B5",0.146939985387746,0.111404612159329,0.111404612159329,0.4
"10.18.19","2","C5",0.135063841421737,0.0651646028390358,0.0651646028390358,0.4
"10.18.19","2","D5",-0.522416561567564,-0.519199037093777,-0.519199037093777,0.4
"10.18.19","2","A6",-0.682502024291513,-0.725519203413943,-0.806069227121852,0.4
"10.18.19","2","B6",-0.183571318711744,-0.183402597402602,0.405424371740159,0.4
"10.18.19","2","C6",-0.43223216728552,-0.664755443702823,-0.652006968641117,0.4
"10.18.19","2","D6",-1.9984939271255,-1.13946383630595,-1.13946383630595,0.4
"10.18.19","3","A1",1.35184705519581,1.88947214076246,1.88947214076246,0.4
"10.18.19","3","B1",-1.70677477477476,-1.61557422969188,-1.61557422969188,0.4
"10.18.19","3","C1",-1.1238112522686,-1.15637096774193,-1.17838056680162,0.4
"10.18.19","3","D1",-0.694251152073723,-0.762998682476948,-0.76040336134453,0.4
"10.18.19","3","A2",-0.184793650793654,-0.0796256684492134,-0.0796256684492134,0.4
"10.18.19","3","B2",0.101343206219922,0.178556327393528,0.178556327393528,0.4
"10.18.19","3","C2",0.0501227352425441,-0.0447605500237321,-0.0447605500237321,0.4
"10.18.19","3","D2",-1.1392513368984,-1.33273032849504,-1.33273032849504,0.4
"10.18.19","3","A3",-0.812414696179901,-0.673717008797651,-0.856296749096971,0.4
"10.18.19","3","B3",-0.822898805206701,-0.823878522323792,-0.844082368082357,0.4
"10.18.19","3","C3",-0.709612299465233,-0.962212836899139,-0.769420821114356,0.4
"10.18.19","3","D3",-2.14538856304985,-2.14538856304985,-2.14538856304985,0.4
"10.18.19","3","A4",-0.558926624737948,-0.438155080213909,-0.438155080213909,0.4
"10.18.19","3","B4",-0.767786167321045,-0.578328445747795,-0.578328445747795,0.4
"10.18.19","3","C4",-1.16787294384572,-1.16787294384572,-1.16787294384572,0.4
"10.18.19","3","D4",-0.540461498574019,-0.479142857142854,-0.479142857142854,0.4
"10.18.19","3","A5",-0.654700452488676,-0.670193093727975,-0.616938086303935,0.4
"10.18.19","3","B5",0.0133973489197433,-0.0664111498257877,-0.0664111498257877,0.4
"10.18.19","3","C5",0.00307274814737232,0.00307274814737232,-0.0705527031108476,0.4
"10.18.19","3","D5",-0.851869328493654,-0.713949579831929,-0.713949579831929,0.4
"10.18.19","3","A6",-0.418113636363641,-0.608181184668986,-0.766270435446904,0.4
"10.18.19","3","B6",-0.65371428571428,-0.70517780938834,-0.70517780938834,0.4
"10.18.19","3","C6",-0.773009817224046,-0.893949739212906,-0.904946524064177,0.4
"10.18.19","3","D6",-0.476119333950041,-0.532697070371491,-0.4766435006435,0.4
